relig,cappun,age,educ
catholic,,41.0,12.0
protestant,,26.0,12.0
catholic,,51.0,12.0
catholic,,56.0,8.0
protestant,,19.0,11.0
catholic,,25.0,9.0
protestant,,69.0,12.0
protestant,,72.0,15.0
protestant,,56.0,12.0
protestant,,53.0,16.0
protestant,,60.0,12.0
protestant,,64.0,3.0
protestant,,51.0,5.0
protestant,,68.0,8.0
protestant,,27.0,12.0
jewish,,54.0,12.0
jewish,,33.0,12.0
jewish,,40.0,15.0
jewish,,26.0,12.0
jewish,,84.0,4.0
jewish,,34.0,12.0
jewish,,59.0,9.0
jewish,,53.0,20.0
jewish,,29.0,15.0
protestant,,75.0,8.0
protestant,,73.0,5.0
protestant,,63.0,7.0
protestant,,34.0,11.0
catholic,,51.0,12.0
protestant,,43.0,10.0
protestant,,45.0,10.0
protestant,,34.0,10.0
protestant,,58.0,12.0
catholic,,59.0,8.0
protestant,,35.0,12.0
protestant,,56.0,12.0
protestant,,29.0,10.0
protestant,,30.0,8.0
protestant,,52.0,8.0
catholic,,44.0,8.0
protestant,,59.0,0.0
protestant,,63.0,0.0
catholic,,35.0,12.0
catholic,,26.0,11.0
catholic,,50.0,0.0
catholic,,42.0,8.0
protestant,,24.0,12.0
protestant,,64.0,12.0
protestant,,30.0,18.0
none,,34.0,16.0
protestant,,64.0,12.0
protestant,,27.0,16.0
protestant,,23.0,13.0
catholic,,21.0,14.0
protestant,,30.0,12.0
protestant,,19.0,12.0
protestant,,51.0,10.0
catholic,,78.0,8.0
catholic,,64.0,3.0
protestant,,73.0,8.0
protestant,,88.0,15.0
protestant,,38.0,12.0
catholic,,67.0,12.0
protestant,,77.0,16.0
protestant,,61.0,19.0
jewish,,62.0,20.0
protestant,,72.0,14.0
protestant,,60.0,13.0
protestant,,23.0,13.0
protestant,,41.0,17.0
protestant,,40.0,18.0
none,,25.0,14.0
other,,77.0,8.0
catholic,,25.0,16.0
catholic,,21.0,12.0
catholic,,52.0,10.0
protestant,,22.0,11.0
protestant,,23.0,14.0
